state,hour_utc,weekday,spread_bucket,n,best_pf,sl_mult,tp_mult,step_pips,lock_pips,max_hold_sec,n_trades,pf_h180,pf_h300,pf_h600,pf_h900,tr_h180,tr_h300,tr_h600,tr_h900,error
SQUEEZE,5,1,high,231,1.404745372390334,3.0,1.0,0.4,0.5,900,77,1.404745372390334,1.404745372390334,1.404745372390334,1.404745372390334,77,77,77,77,
NEUTRAL,21,2,low,6438,1.4027866561261233,3.0,1.0,0.4,0.5,900,2146,1.4027866561261233,1.4027866561261233,1.4027866561261233,1.4027866561261233,2146,2146,2146,2146,
TRENDBURST,19,2,mid,1202,1.397502469946442,3.0,1.0,0.4,0.5,900,401,1.397502469946442,1.397502469946442,1.397502469946442,1.397502469946442,401,401,401,401,
BREAKOUT,18,4,xhigh,284,1.3974735537165324,3.0,1.0,0.4,0.5,900,95,1.3974735537165324,1.3974735537165324,1.3974735537165324,1.3974735537165324,95,95,95,95,
TRENDBURST,22,2,mid,2351,1.3903863155321503,3.0,1.0,0.4,0.5,900,784,1.3903863155321503,1.3903863155321503,1.3903863155321503,1.3903863155321503,784,784,784,784,
TRENDBURST,19,0,mid,1364,1.388906857528254,3.0,1.0,0.4,0.5,900,455,1.388906857528254,1.388906857528254,1.388906857528254,1.388906857528254,455,455,455,455,
TRENDBURST,3,2,mid,1348,1.3852190437060243,3.0,1.0,0.4,0.5,900,449,1.3852190437060243,1.3852190437060243,1.3852190437060243,1.3852190437060243,449,449,449,449,
BREAKOUT,19,0,xhigh,290,1.3838211108313743,3.0,1.0,0.4,0.5,900,97,1.3838211108313743,1.3838211108313743,1.3838211108313743,1.3838211108313743,97,97,97,97,
SQUEEZE,2,3,high,278,1.3820000811234714,3.0,1.0,0.4,0.5,900,93,1.3820000811234714,1.3820000811234714,1.3820000811234714,1.3820000811234714,93,93,93,93,
NEUTRAL,21,4,xhigh,1269,1.3806381741982592,3.0,1.0,0.4,0.5,900,423,1.3806381741982592,1.3806381741982592,1.3806381741982592,1.3806381741982592,423,423,423,423,
TRENDBURST,10,1,mid,1348,1.3777754599822025,3.0,1.0,0.4,0.5,900,449,1.3777754599822025,1.3777754599822025,1.3777754599822025,1.3777754599822025,449,449,449,449,
SQUEEZE,0,4,mid,483,1.3773144070969536,3.0,1.0,0.4,0.5,900,161,1.3773144070969536,1.3773144070969536,1.3773144070969536,1.3773144070969536,161,161,161,161,
TRENDBURST,18,0,high,2161,1.375158041400496,3.0,1.0,0.4,0.5,900,720,1.375158041400496,1.375158041400496,1.375158041400496,1.375158041400496,720,720,720,720,
NEUTRAL,23,0,xhigh,1703,1.372924452355343,3.0,1.0,0.4,0.5,900,568,1.372924452355343,1.372924452355343,1.372924452355343,1.372924452355343,568,568,568,568,
SQUEEZE,4,3,high,330,1.3695462135440648,3.0,1.0,0.4,0.5,900,110,1.3695462135440648,1.3695462135440648,1.3695462135440648,1.3695462135440648,110,110,110,110,
NEUTRAL,9,3,mid,7112,1.3531981140728786,3.0,1.0,0.4,0.5,900,2371,1.3531981140728786,1.3531981140728786,1.3531981140728786,1.3531981140728786,2371,2371,2371,2371,
DEAD,23,2,mid,364,1.3511295889898258,3.0,1.0,0.4,0.5,900,121,1.3511295889898258,1.3511295889898258,1.3511295889898258,1.3511295889898258,121,121,121,121,
NEUTRAL,17,3,mid,5744,1.343067786028135,3.0,1.0,0.4,0.5,900,1915,1.343067786028135,1.343067786028135,1.343067786028135,1.343067786028135,1915,1915,1915,1915,
BREAKOUT,17,2,high,5209,1.3397035496144065,3.0,1.0,0.4,0.5,900,1736,1.3397035496144065,1.3397035496144065,1.3397035496144065,1.3397035496144065,1736,1736,1736,1736,
DEAD,19,4,low,222,1.3395995983354958,3.0,1.0,0.4,0.5,900,74,1.3395995983354958,1.3395995983354958,1.3395995983354958,1.3395995983354958,74,74,74,74,
BREAKOUT,7,1,mid,4565,1.335827546337951,3.0,1.0,0.4,0.5,900,1522,1.335827546337951,1.335827546337951,1.335827546337951,1.335827546337951,1522,1522,1522,1522,
SQUEEZE,11,4,low,1222,1.335810299949884,3.0,1.0,0.4,0.5,900,407,1.335810299949884,1.335810299949884,1.335810299949884,1.335810299949884,407,407,407,407,
DEAD,0,0,low,243,1.331507438011228,3.0,1.0,0.4,0.5,900,81,1.331507438011228,1.331507438011228,1.331507438011228,1.331507438011228,81,81,81,81,
TRENDBURST,17,1,low,6615,1.3305992333772694,3.0,1.0,0.4,0.5,900,2205,1.3305992333772694,1.3305992333772694,1.3305992333772694,1.3305992333772694,2205,2205,2205,2205,
BREAKOUT,20,1,high,5939,1.3284426319971074,3.0,1.0,0.4,0.5,900,1980,1.3284426319971074,1.3284426319971074,1.3284426319971074,1.3284426319971074,1980,1980,1980,1980,
NEUTRAL,7,4,mid,6234,1.3281726752010166,3.0,1.0,0.4,0.5,900,2078,1.3281726752010166,1.3281726752010166,1.3281726752010166,1.3281726752010166,2078,2078,2078,2078,
BREAKOUT,22,3,mid,3260,1.3276079464494646,3.0,1.0,0.4,0.5,900,1087,1.3276079464494646,1.3276079464494646,1.3276079464494646,1.3276079464494646,1087,1087,1087,1087,
